Modulation,Coding,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
8PSK,无编码,0,0.5,43.1057594165249,7.30929398624778,0,1,
8PSK,无编码,2,0.5,42.1077642283407,7.51275634902137,0,1,
8PSK,无编码,4,0.0362037556053812,21.6776815163804,13.2797433711656,100,1,
8PSK,无编码,6,0.0007847533632287,17.637812631258,15.0711055054868,100,1,
8PSK,无编码,8,4.13028085909842e-05,14.1852845289443,16.9632389737303,100,1,
8PSK,无编码,10,0,11.4205393103645,18.846267739693,100,1,
8PSK,无编码,12,0,8.80245352207436,21.1079251874898,100,1,
8PSK,无编码,14,0,7.17038355473085,22.8891522527586,100,1,
8PSK,无编码,16,0,5.75729990153685,24.7956229454108,100,1,
8PSK,无编码,18,0,4.62209967248276,26.7032138697274,100,1,
8PSK,无编码,20,0,3.67229856609326,28.701240338437,100,1,
8PSK,无编码,22,0,3.0345880274913,30.358005199065,100,1,
8PSK,无编码,24,0,2.45428751304532,32.2014912444447,100,1,
8PSK,无编码,26,0,2.06694818309614,33.6934082137267,100,1,
8PSK,卷积码 1/2,0,0.5,44.3310287881089,7.06584379864029,0,1,
8PSK,卷积码 1/2,2,0.5,41.6547630371694,7.60670663544883,0,1,
8PSK,卷积码 1/2,4,0,21.7648688190105,13.244878921477,100,1,
8PSK,卷积码 1/2,6,0,17.6393218392306,15.0703623150834,100,1,
8PSK,卷积码 1/2,8,0,14.1063292052663,17.0117197012472,100,1,
8PSK,卷积码 1/2,10,0,11.199154044758,19.0162956315413,95.6521739130435,1,
8PSK,卷积码 1/2,12,0,8.97212888465988,20.9420899280529,100,1,
8PSK,卷积码 1/2,14,0,7.19603948009269,22.8581292524457,100,1,
8PSK,卷积码 1/2,16,0,5.75924986990637,24.7926815765888,100,1,
8PSK,卷积码 1/2,18,0,4.55190392055883,26.8361382679864,100,1,
8PSK,卷积码 1/2,20,0,3.65032964274752,28.7533582968318,100,1,
8PSK,卷积码 1/2,22,0,3.01235256289759,30.4218840016148,100,1,
8PSK,卷积码 1/2,24,0,2.48957365794337,32.0775003982921,100,1,
8PSK,卷积码 1/2,26,0,2.0371299261507,33.8196254247969,100,1,
8PSK,RS,0,0.5,44.047714559737,7.12153240558082,95.8333333333333,1,
8PSK,RS,2,0.5,29.5179819065376,10.59826675596,0,1,
8PSK,RS,4,0.5,28.5215719781801,10.8965308368275,0,1,
8PSK,RS,6,0,17.5858064615379,15.0967542145383,100,1,
8PSK,RS,8,0,13.9980806275505,17.0786301864485,100,1,
8PSK,RS,10,0,11.1263442720842,19.072950124371,100,1,
8PSK,RS,12,0,8.99998047619557,20.915168653635,100,1,
8PSK,RS,14,0,7.18277035663934,22.8741603671117,100,1,
8PSK,RS,16,0,5.70171815648312,24.8798850850043,100,1,
8PSK,RS,18,0,4.54643762016696,26.846575266297,100,1,
8PSK,RS,20,0,3.70579067546794,28.6223823158661,100,1,
8PSK,RS,22,0,2.97102581340658,30.5418714972724,100,1,
8PSK,RS,24,0,2.46246283764953,32.1726062990463,100,1,
8PSK,RS,26,0,2.03783549384182,33.8166175547775,100,1,
8PSK,LDPC 1/2,0,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,2,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,4,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,6,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,8,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,10,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,12,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,14,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,16,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,18,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,20,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,22,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,24,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,LDPC 1/2,26,-2,NaN,NaN,NaN,0,LDPCCodeblockSize 应为具有值 <= 8 的标量。 (at ccsdsTMWaveformGenerator.ccsdsTMWaveformGenerator line 327)
8PSK,Turbo 1/2,0,0.5,47.4966555533273,6.46673939734322,0,1,
8PSK,Turbo 1/2,2,0.5,46.8133906944522,6.59259803557533,0,1,
8PSK,Turbo 1/2,4,0.00379187549459246,21.5204460730663,13.3429746182324,95.6521739130435,1,
8PSK,Turbo 1/2,6,0.000527565286204168,17.6658768573807,15.0572960240554,95.6521739130435,1,
8PSK,Turbo 1/2,8,6.22820129546587e-05,13.7827564531969,17.2132783587302,91.304347826087,1,
8PSK,Turbo 1/2,10,0,11.2918082508519,18.9447301066128,91.304347826087,1,
8PSK,Turbo 1/2,12,0,8.90472122678489,21.0075934421822,91.304347826087,1,
8PSK,Turbo 1/2,14,0,7.1581512495104,22.9039825868335,91.304347826087,1,
8PSK,Turbo 1/2,16,0,5.6549709494675,24.9513924355248,82.6086956521739,1,
8PSK,Turbo 1/2,18,0,4.56841281778536,26.8046931723646,91.304347826087,1,
8PSK,Turbo 1/2,20,0,3.67388826148845,28.6974811312999,91.304347826087,1,
8PSK,Turbo 1/2,22,0,2.98972560318405,30.4873733872997,91.304347826087,1,
8PSK,Turbo 1/2,24,0,2.51833458636922,31.9777313990925,95.6521739130435,1,
8PSK,Turbo 1/2,26,0,2.05580329925447,33.7403688259751,91.304347826087,1,
