Modulation,Coding,SNR_dB,BER,LockRate_pct,EVM_post_pct,MER_dB,SNR_est_dB,Verdict,ErrorMsg
BPSK,Conv 1/2,0,0,100,33.9014742414468,9.39562831263212,9.39562831263212,PASS_BER0,
BPSK,Conv 1/2,2,0,100,27.1806562836985,11.3148012265754,11.3148012265754,PASS_BER0,
BPSK,Conv 1/2,4,0,100,22.1487077813493,13.0930321335588,13.0930321335588,PASS_BER0,
BPSK,Conv 1/2,6,0,100,17.5935618764178,15.0929245449327,15.0929245449326,PASS_BER0,
BPSK,Conv 1/2,8,0,100,13.9747551191979,17.0931158710674,17.0931158710674,PASS_BER0,
BPSK,Conv 1/2,10,0,100,11.1749720065845,19.0350711221328,19.0350711221328,PASS_BER0,
BPSK,Conv 1/2,12,0,100,8.93232531594089,20.9807093655158,20.9807093655157,PASS_BER0,
BPSK,Conv 1/2,14,0,100,7.20341839154282,22.8492271928424,22.8492271928423,PASS_BER0,
BPSK,Conv 1/2,16,0,100,5.72876999801442,24.8387722741501,24.8387722741498,PASS_BER0,
QPSK,Conv 1/2,0,0,100,33.617433120785,9.46870900891108,9.46870900891108,PASS_BER0,
QPSK,Conv 1/2,2,0,100,27.2028914467317,11.3076986306245,11.3076986306245,PASS_BER0,
QPSK,Conv 1/2,4,0,100,22.007763234767,13.1484818969215,13.1484818969215,PASS_BER0,
QPSK,Conv 1/2,6,0,100,17.5003500947857,15.1390652631738,15.1390652631738,PASS_BER0,
QPSK,Conv 1/2,8,0,100,14.2393329668528,16.9302070898261,16.930207089826,PASS_BER0,
QPSK,Conv 1/2,10,0,100,11.3197890760646,18.9232333073978,18.9232333073978,PASS_BER0,
QPSK,Conv 1/2,12,0,100,8.92045350348351,20.9922613226706,20.9922613226705,PASS_BER0,
QPSK,Conv 1/2,14,0,100,7.12873464731811,22.9397510143397,22.9397510143395,PASS_BER0,
QPSK,Conv 1/2,16,0,100,5.73010054566745,24.8367551486262,24.8367551486259,PASS_BER0,
8PSK,Conv 1/2,0,0.5,0,32.4463522144867,9.7766824346953,9.7766824346953,SYNC_FAIL,
8PSK,Conv 1/2,2,0.5,0,46.9814781635097,6.56146646544811,6.56146646544811,SYNC_FAIL,
8PSK,Conv 1/2,4,0,100,21.6428363474621,13.2937164893018,13.2937164893018,PASS_BER0,
8PSK,Conv 1/2,6,0,100,17.6241465732546,15.077838079639,15.077838079639,PASS_BER0,
8PSK,Conv 1/2,8,0,100,14.0101739760928,17.0711294336307,17.0711294336307,PASS_BER0,
8PSK,Conv 1/2,10,0,100,11.1441797047491,19.0590378668009,19.0590378668009,PASS_BER0,
8PSK,Conv 1/2,12,0,100,8.98583743162097,20.9288288552752,20.9288288552751,PASS_BER0,
8PSK,Conv 1/2,14,0,100,7.15958410863049,22.9022440917555,22.9022440917553,PASS_BER0,
8PSK,Conv 1/2,16,0,100,5.7058682764064,24.873565170544,24.8735651705437,PASS_BER0,
GMSK,Conv 1/2,0,0.5,95.8333333333333,24.8292502369803,12.1007278907117,12.1007278907117,FAIL_RANDOM,
GMSK,Conv 1/2,2,0.5,75,20.5533202638953,13.7423602097621,13.7423602097621,SYNC_FAIL,
GMSK,Conv 1/2,4,0.5,95.8333333333333,16.8495620169932,15.4682276716097,15.4682276716097,FAIL_RANDOM,
GMSK,Conv 1/2,6,0.5,58.3333333333333,14.0029840564112,17.0755881133811,17.0755881133811,SYNC_FAIL,
GMSK,Conv 1/2,8,0,100,11.1708259279496,19.038294312638,19.038294312638,PASS_BER0,
GMSK,Conv 1/2,10,0,100,9.04554467103736,20.8713055456708,20.8713055456708,PASS_BER0,
GMSK,Conv 1/2,12,0,100,7.55356744566339,22.4369577725903,22.4369577725903,PASS_BER0,
GMSK,Conv 1/2,14,0,100,6.41427428145947,23.8570494619667,23.8570494619667,PASS_BER0,
GMSK,Conv 1/2,16,0,100,5.60065322490927,25.0352263333443,25.0352263333443,PASS_BER0,
16APSK,Conv 1/2,0,0.5,0,67.1279405676241,3.46193352847091,-11.3751605086817,SYNC_FAIL,
16APSK,Conv 1/2,2,0.463298193166024,100,81.7057692639161,1.75494553495212,1.53842852583283,FAIL_RANDOM,
16APSK,Conv 1/2,4,0.466420540157641,100,31.0775034867542,10.1510775229529,3.98299373090037,FAIL_RANDOM,
16APSK,Conv 1/2,6,0.444545557030839,100,29.5499953516252,10.588851661992,6.02237155689848,FAIL_RANDOM,
16APSK,Conv 1/2,8,0.4228656387137,100,27.7782794405657,11.1258931508082,8.04071072838535,FAIL_RANDOM,
16APSK,Conv 1/2,10,0.248057114893257,100,25.5845173775421,11.8404554215975,10.0512965106924,FAIL_RANDOM,
16APSK,Conv 1/2,12,0.00755892113451975,100,23.032949417027,12.7530089232823,12.0558721789707,MARGINAL,
16APSK,Conv 1/2,14,0,100,20.0348721251679,13.9642685031194,14.0575643735314,PASS_BER0,
16APSK,Conv 1/2,16,0,100,16.7250872240065,15.5326321727801,16.0571556573469,PASS_BER0,
