Category,Name,Note,Modulation,Coding,PCMFormat,HScenario,EnableHChannel,EnableEqualizer,HNumTaps,HEffectiveTaps,HRelEchoPower_dB,InputSNR_dB,CFO_Hz,Phase_deg,Delay_symbols,BER,LockRate_pct,EVM_post_pct,SNR_est_dB,MER_dB,PAPR_dB,PassBER,PassLock_pct,Success,Verdict,ErrorMsg,ElapsedTime_s
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"clean",0,0,1,1,-Inf,16,20000,10,0.1,0,100,8.48297386756122,21.4290374174614,21.4290374174616,3.86313077308357,0.0001,85,1,PASS,,38.9405461
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,16,20000,10,0.1,0,100,10.0528107303642,19.9542498812443,19.9542498812444,3.91548830671085,0.0001,85,1,PASS,,20.1133461
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,16,20000,10,0.1,0,100,8.64417780750515,21.2655261684363,21.2655261684364,3.85010233535347,0.0001,85,1,PASS,,38.6865628
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,16,20000,10,0.1,0,100,18.964812795531,14.4410287985005,14.4410287985005,3.86692738035451,0.0001,85,1,PASS,,20.0727987
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,16,20000,10,0.1,0,100,8.99945863073701,20.9156723017804,20.9156723017805,3.80529210429437,0.0001,85,1,PASS,,19.8055456
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,16,20000,10,0.1,0,100,24.4608548731531,12.2305673808226,12.2305673808226,3.83852360790035,0.0001,85,1,PASS,,20.0383678
TM modulation,8PSK TM conv1/2,convolutional,8PSK,convolutional,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,16,20000,10,0.1,0,100,9.37052349588751,20.5647229207193,20.5647229207193,3.91545351725189,0.0001,85,1,PASS,,19.7281968
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"clean",0,0,1,1,-Inf,20,20000,10,0.1,0,100,6.25427923135458,24.0352625257697,24.0764546590816,6.12621651069528,0.0001,85,1,PASS,,3.089674
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"mild H, EQ off",1,0,5,3,-14.1116827440579,20,20000,10,0.1,0,100,8.65692236254921,21.2388098396923,21.2527295465415,6.08406220879115,0.0001,85,1,PASS,,3.0022468
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"mild H, EQ on",1,1,5,3,-14.1116827440579,20,20000,10,0.1,0,100,6.40085191055036,23.8925815376962,23.8752444096064,6.06506425113574,0.0001,85,1,PASS,,3.1355224
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ off",1,0,7,4,-7.32124580681102,20,20000,10,0.1,0,100,18.6668200382904,14.5827604154433,14.5785931883661,5.99718979048315,0.0001,85,1,PASS,,3.0336993
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"medium H, EQ on",1,1,7,4,-7.32124580681102,20,20000,10,0.1,0,100,6.40822732025008,23.8631567028377,23.8652418168185,6.27396319383704,0.0001,85,1,PASS,,3.1037649
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ off",1,0,7,4,-3.32547047110046,20,20000,10,0.1,0,100,23.6332386100163,12.4019064056483,12.5295352041844,6.16084498475268,0.0001,85,1,PASS,,3.0530664
TM modulation,16QAM TM conv1/2,convolutional,16QAM,convolutional,,"strong H, EQ on",1,1,7,4,-3.32547047110046,20,20000,10,0.1,0,100,6.73539325857827,23.4160318320675,23.4327408420435,6.1123116229716,0.0001,85,1,PASS,,3.0755822
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"clean",0,0,1,1,-Inf,22,20000,10,0.1,0,100,9.54924712269532,21.8453358788383,20.4006173502058,4.92192923811057,0.0001,80,1,PASS,,68.9058665
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"mild H, EQ off",1,0,5,3,-14.1116827440579,22,20000,10,0.1,0,100,9.40894077104441,21.6228900178287,20.5291853065519,4.92192923811057,0.0001,80,1,PASS,,70.6186125
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"mild H, EQ on",1,1,5,3,-14.1116827440579,22,20000,10,0.1,0,100,9.47772123390196,21.9976391825954,20.4659213851074,4.92192923811057,0.0001,80,1,PASS,,70.9754218
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"medium H, EQ off",1,0,7,4,-7.32124580681102,22,20000,10,0.1,0,100,9.47760846050544,18.8969984105264,20.4660247372825,4.92192923811057,0.0001,80,1,PASS,,71.6206046
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"medium H, EQ on",1,1,7,4,-7.32124580681102,22,20000,10,0.1,0,100,9.46207492143525,21.857961888892,20.4802723499361,4.92192923811057,0.0001,80,1,PASS,,71.1812211
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"strong H, EQ off",1,0,7,4,-3.32547047110046,22,20000,10,0.1,0,100,9.80930724867219,17.909347292271,20.1672332442508,4.92192923811057,0.0001,80,1,PASS,,72.0980202
FACM APSK,16APSK ACM14,none,16APSK,none,NRZ-L,"strong H, EQ on",1,1,7,4,-3.32547047110046,22,20000,10,0.1,0,100,9.76559529115771,21.7691676535385,20.2060255569235,4.92192923811057,0.0001,80,1,PASS,,70.8569281
