Modulation,Note,InputSNR_dB,BER,EVM_post_pct,SNR_est_dB,LockRate_pct,Success,ErrorMsg
BPSK,"TM TPC (64,57)^2",0,0,34.3017762893911,9.29366779581718,100,1,
BPSK,"TM TPC (64,57)^2",2,0,28.103427313909,11.0248142618607,100,1,
BPSK,"TM TPC (64,57)^2",4,0,22.6137843146405,12.9125350870673,100,1,
BPSK,"TM TPC (64,57)^2",6,0,17.9203472739061,14.9330715701745,100,1,
BPSK,"TM TPC (64,57)^2",8,0,14.3320782890806,16.8738165632544,100,1,
BPSK,"TM TPC (64,57)^2",10,0,11.5603637894515,18.7405699804802,100,1,
BPSK,"TM TPC (64,57)^2",12,0,9.40735030096365,20.5306536775048,100,1,
QPSK,"TM TPC (64,57)^2",0,0,33.7766437934276,9.42767012336902,100,1,
QPSK,"TM TPC (64,57)^2",2,0,27.3724528824392,11.2537256626295,100,1,
QPSK,"TM TPC (64,57)^2",4,0,22.1698658166165,13.0847387090042,100,1,
QPSK,"TM TPC (64,57)^2",6,0,17.9390427166901,14.924014719653,100,1,
QPSK,"TM TPC (64,57)^2",8,0,14.2681693616431,16.9126348854814,100,1,
QPSK,"TM TPC (64,57)^2",10,0,11.4714098860766,18.8076640428218,100,1,
QPSK,"TM TPC (64,57)^2",12,0,9.11781168781714,20.8021876324297,100,1,
8PSK,"TM TPC (64,57)^2",0,0.508071748878924,44.5795730609837,7.01728190156908,0,1,
8PSK,"TM TPC (64,57)^2",2,0.5,42.9170493801382,7.3474028832241,0,1,
8PSK,"TM TPC (64,57)^2",4,0.5,30.6524060527979,10.2707085994586,0,1,
8PSK,"TM TPC (64,57)^2",6,0,17.6848154764066,15.0479893451966,100,1,
8PSK,"TM TPC (64,57)^2",8,0,14.2356815671898,16.9324347027134,100,1,
8PSK,"TM TPC (64,57)^2",10,0,11.4112038215128,18.8533707479858,100,1,
8PSK,"TM TPC (64,57)^2",12,0,9.23114515043787,20.6948884027383,100,1,
GMSK,"TM TPC (64,57)^2",0,0.496995515695067,24.4123937903368,12.2477926632234,100,1,
GMSK,"TM TPC (64,57)^2",2,0.536995515695067,20.1604385839907,13.9100004836819,40,1,
GMSK,"TM TPC (64,57)^2",4,0.501569506726457,16.1198567240737,15.852776451885,0,1,
GMSK,"TM TPC (64,57)^2",6,0.1247533632287,13.1133102741067,17.6457532564997,100,1,
GMSK,"TM TPC (64,57)^2",8,0,10.6503965123851,19.4526844643447,100,1,
GMSK,"TM TPC (64,57)^2",10,0.125364349775785,8.742420968122,21.1673657008517,100,1,
GMSK,"TM TPC (64,57)^2",12,0,7.25103355404876,22.792001703537,100,1,
16QAM,"TM TPC (64,57)^2",0,0.49932735426009,26.8216507311905,11.4079969461562,40,1,
16QAM,"TM TPC (64,57)^2",2,0.143862107623318,24.517603527995,12.2889411797616,100,1,
16QAM,"TM TPC (64,57)^2",4,2.80269058295964e-05,21.0982853001209,13.775320385082,100,1,
16QAM,"TM TPC (64,57)^2",6,0,17.985412037819,15.207427482235,100,1,
16QAM,"TM TPC (64,57)^2",8,0,14.7244576481343,16.9346748600262,100,1,
16QAM,"TM TPC (64,57)^2",10,0,11.8360040082324,18.8675611238643,100,1,
16QAM,"TM TPC (64,57)^2",12,0,9.59839129603142,20.6851182930356,100,1,
32QAM,"TM TPC (64,57)^2",0,0.499607623318386,20.6016407622379,13.5221794162388,40,1,
32QAM,"TM TPC (64,57)^2",2,0.5,19.7745866667466,13.9655810111663,0,1,
32QAM,"TM TPC (64,57)^2",4,0.5,19.3717562714226,14.195741578476,0,1,
32QAM,"TM TPC (64,57)^2",6,0.182361733931241,18.6422525716362,14.6187740829717,75,1,
32QAM,"TM TPC (64,57)^2",8,5.60538116591928e-05,14.8241799698426,16.7234390959154,100,1,
32QAM,"TM TPC (64,57)^2",10,0,12.7364972352847,18.0354601841914,100,1,
32QAM,"TM TPC (64,57)^2",12,0,11.0486960989255,19.3357343334072,100,1,
