coding,snr,ber,evm,lock
无编码,0,0.5,45.26,0
无编码,2,0.5,30.17,0
无编码,4,0.0319,21.67,97.1
无编码,6,0.0236,17.44,100
无编码,8,3.09e-05,13.99,100
无编码,10,0,11.21,100
无编码,12,0,8.95,100
无编码,14,0,7.11,100
无编码,16,0,5.67,100
卷积码 1/2,0,0.5,44.61,0
卷积码 1/2,2,0.5,46.27,0
卷积码 1/2,4,0,21.86,100
卷积码 1/2,6,0,17.46,100
卷积码 1/2,8,0,13.82,100
卷积码 1/2,10,0,11.15,100
卷积码 1/2,12,0,8.94,100
卷积码 1/2,14,0,7.21,100
卷积码 1/2,16,0,5.73,100
RS,0,0.5,32.22,0
RS,2,0.5,47.31,100
RS,4,0.5,44.11,97.1
RS,6,0,17.63,100
RS,8,0,14.19,100
RS,10,0,11.18,100
RS,12,0,8.89,100
RS,14,0,7.13,100
RS,16,0,5.68,100
LDPC 1/2,0,0.5,47.83,0
LDPC 1/2,2,0.5,29.94,0
LDPC 1/2,4,0.5,40.99,0
LDPC 1/2,6,0.000597,17.49,96
LDPC 1/2,8,5.1e-05,14.08,92
LDPC 1/2,10,0,11.34,96
LDPC 1/2,12,0,8.93,96
LDPC 1/2,14,0,7.14,92
LDPC 1/2,16,0,5.73,92
Turbo 1/2,0,0.5,42.509,0
Turbo 1/2,2,0.5,42.08,0
Turbo 1/2,4,0.5,47.524,0
Turbo 1/2,6,0.00029502,17.606,95.652
Turbo 1/2,8,6.2282e-05,14.163,91.304
Turbo 1/2,10,0,11.232,91.304
Turbo 1/2,12,0,8.8792,91.304
Turbo 1/2,14,0,7.0722,91.304
Turbo 1/2,16,0,5.6947,91.304
