TPCInterleaver,InputSNR_dB,BER,FER,EVM_post_pct,SNR_est_dB,LockRate_pct,AcquisitionFrames,Success,ErrorMsg
none,10,0.5,,18.3775480988163,14.8500355065945,50,,1,
none,12,0.5,,18.3826857964745,14.8486176900449,80,,1,
none,14,0.5,,18.1610130487446,15.0393371087641,55.5555555555556,,1,
none,16,0.5,,17.526625960454,15.4554430100593,100,,1,
none,18,0.5,,16.8145202062889,16.0345850911619,50,,1,
none,20,0.498950617283951,1,17.4639252066297,15.4962231155324,100,4,1,
auto,10,0.00674074074074074,1,16.0573236106494,16.4546709129982,100,2,1,
auto,12,0.000208333333333333,1,15.2585500050613,17.0023779833149,100,4,1,
auto,14,1.37174211248285e-05,0.222222222222222,14.430198065327,17.6135988336078,90.9090909090909,3,1,
auto,16,0,0,14.2159101561247,17.7545212291501,90.9090909090909,3,1,
auto,18,0,0,13.3373275150532,18.3976747952579,90.9090909090909,3,1,
auto,20,0,0,13.3420965988009,18.3645242071848,90.9090909090909,3,1,
